,file_path,length,label
0,TRAIN16k/ERMS_b0439.WAV,154143,
1,TRAIN16k/ERMS_a0422.WAV,151840,
2,TRAIN16k/HQTV_a0507.WAV,151659,
3,TRAIN16k/ERMS_a0407.WAV,151040,
4,TRAIN16k/EBVS_b0204.WAV,146863,
5,TRAIN16k/EBVS_a0139.WAV,144870,
6,TRAIN16k/TLV_a0407.WAV,144193,
7,TRAIN16k/TLV_a0525.WAV,143355,
8,TRAIN16k/ERMS_a0577.WAV,142880,
9,TRAIN16k/YDCK_b0204.WAV,142301,
10,TRAIN16k/ERMS_a0487.WAV,142210,
11,TRAIN16k/ABA_a0407.WAV,142074,
12,TRAIN16k/ABA_b0427.WAV,140588,
13,TRAIN16k/NCC_a0407.WAV,140026,
14,TRAIN16k/ERMS_a0525.WAV,139026,
15,TRAIN16k/YDCK_b0480.WAV,138692,
16,TRAIN16k/ERMS_a0375.WAV,137920,
17,TRAIN16k/YBAA_b0487.WAV,137760,
18,TRAIN16k/YDCK_a0525.WAV,137355,
19,TRAIN16k/TLV_b0513.WAV,136781,
20,TRAIN16k/YBAA_a0507.WAV,136293,
21,TRAIN16k/ABA_b0174.WAV,135106,
22,TRAIN16k/NCC_b0480.WAV,134766,
23,TRAIN16k/ABA_a0507.WAV,134518,
24,TRAIN16k/HKK_a0507.WAV,134488,
25,TRAIN16k/YDCK_a0487.WAV,134240,
26,TRAIN16k/THV_a0507.WAV,133920,
27,TRAIN16k/HKK_a0407.WAV,133864,
28,TRAIN16k/ERMS_a0507.WAV,132640,
29,TRAIN16k/ERMS_b0204.WAV,132640,
30,TRAIN16k/EBVS_b0190.WAV,131831,
31,TRAIN16k/ERMS_a0569.WAV,131759,
32,TRAIN16k/TXHC_a0525.WAV,131040,
33,TRAIN16k/ABA_b0204.WAV,130792,
34,TRAIN16k/YBAA_b0453.WAV,130639,
35,TRAIN16k/ABA_a0525.WAV,130080,
36,TRAIN16k/TLV_a0398.WAV,129579,
37,TRAIN16k/RRBI_a0407.WAV,129431,
