,file_path,length,label
0,TRAIN16k/BWC_a0407.WAV,193085,
1,TRAIN16k/LXC_b0190.WAV,163355,
2,TRAIN16k/ERMS_b0439.WAV,154143,
3,TRAIN16k/PNV_a0577.WAV,152322,
4,TRAIN16k/ERMS_a0422.WAV,151840,
5,TRAIN16k/HQTV_a0507.WAV,151659,
6,TRAIN16k/ERMS_a0407.WAV,151040,
7,TRAIN16k/PNV_a0407.WAV,149826,
8,TRAIN16k/MBMPS_a0298.WAV,149546,
9,TRAIN16k/PNV_b0439.WAV,148915,
10,TRAIN16k/EBVS_b0204.WAV,146863,
11,TRAIN16k/EBVS_a0139.WAV,144870,
12,TRAIN16k/MBMPS_b0520.WAV,144595,
13,TRAIN16k/ERMS_a0577.WAV,142880,
14,TRAIN16k/YDCK_b0204.WAV,142301,
15,TRAIN16k/ERMS_a0487.WAV,142210,
16,TRAIN16k/ABA_a0407.WAV,142074,
17,TRAIN16k/ABA_b0427.WAV,140588,
18,TRAIN16k/BWC_a0380.WAV,140221,
19,TRAIN16k/NCC_a0407.WAV,140026,
20,TRAIN16k/ERMS_a0525.WAV,139026,
21,TRAIN16k/YDCK_b0480.WAV,138692,
22,TRAIN16k/MBMPS_a0577.WAV,138038,
23,TRAIN16k/ERMS_a0375.WAV,137920,
24,TRAIN16k/YBAA_b0487.WAV,137760,
25,TRAIN16k/YDCK_a0525.WAV,137355,
26,TRAIN16k/YBAA_a0507.WAV,136293,
27,TRAIN16k/ABA_b0174.WAV,135106,
28,TRAIN16k/NCC_b0480.WAV,134766,
29,TRAIN16k/ABA_a0507.WAV,134518,
30,TRAIN16k/HKK_a0507.WAV,134488,
31,TRAIN16k/YDCK_a0487.WAV,134240,
32,TRAIN16k/THV_a0507.WAV,133920,
33,TRAIN16k/HKK_a0407.WAV,133864,
34,TRAIN16k/ERMS_b0204.WAV,132640,
35,TRAIN16k/ERMS_a0507.WAV,132640,
36,TRAIN16k/LXC_b0480.WAV,132163,
37,TRAIN16k/EBVS_b0190.WAV,131831,
38,TRAIN16k/ERMS_a0569.WAV,131759,
39,TRAIN16k/LXC_b0403.WAV,131320,
40,TRAIN16k/BWC_b0520.WAV,131251,
41,TRAIN16k/ABA_b0204.WAV,130792,
42,TRAIN16k/YBAA_b0453.WAV,130639,
43,TRAIN16k/LXC_a0487.WAV,130487,
44,TRAIN16k/ABA_a0525.WAV,130080,
45,TRAIN16k/LXC_b0379.WAV,129856,
46,TRAIN16k/RRBI_a0407.WAV,129431,
47,TRAIN16k/BWC_a0366.WAV,129410,
48,TRAIN16k/YDCK_a0407.WAV,129280,
49,TRAIN16k/BWC_a0507.WAV,129190,
50,TRAIN16k/ERMS_a0366.WAV,129120,
51,TRAIN16k/HKK_a0570.WAV,128847,
52,TRAIN16k/LXC_a0153.WAV,128745,
53,TRAIN16k/MBMPS_a0507.WAV,128737,
54,TRAIN16k/YBAA_b0174.WAV,128640,
55,TRAIN16k/BWC_a0186.WAV,128535,
56,TRAIN16k/YDCK_a0577.WAV,128530,
57,TRAIN16k/HKK_b0292.WAV,128480,
58,TRAIN16k/YDCK_a0507.WAV,128480,
59,TRAIN16k/MBMPS_a0299.WAV,128400,
60,TRAIN16k/YBAA_a0023.WAV,128184,
61,TRAIN16k/BWC_a0234.WAV,128177,
62,TRAIN16k/BWC_a0023.WAV,128063,
63,TRAIN16k/MBMPS_a0472.WAV,127730,
64,TRAIN16k/ERMS_a0438.WAV,127694,
65,TRAIN16k/HQTV_a0407.WAV,127648,
66,TRAIN16k/BWC_a0298.WAV,127400,
67,TRAIN16k/LXC_b0384.WAV,127362,
68,TRAIN16k/YDCK_b0520.WAV,127143,
69,TRAIN16k/LXC_b0479.WAV,127133,
70,TRAIN16k/LXC_a0588.WAV,127112,
71,TRAIN16k/MBMPS_b0420.WAV,127040,
72,TRAIN16k/ERMS_a0430.WAV,126994,
73,TRAIN16k/MBMPS_b0427.WAV,126822,
74,TRAIN16k/NCC_b0439.WAV,126723,
75,TRAIN16k/MBMPS_a0084.WAV,126716,
76,TRAIN16k/PNV_b0090.WAV,126645,
77,TRAIN16k/YDCK_b0447.WAV,126598,
78,TRAIN16k/LXC_a0524.WAV,126518,
79,TRAIN16k/MBMPS_a0136.WAV,126500,
80,TRAIN16k/PNV_b0407.WAV,126235,
81,TRAIN16k/PNV_a0507.WAV,126071,
82,TRAIN16k/MBMPS_b0516.WAV,126058,
83,TRAIN16k/BWC_b0204.WAV,125918,
84,TRAIN16k/BWC_a0299.WAV,125897,
85,TRAIN16k/NCC_b0374.WAV,125870,
86,TRAIN16k/BWC_a0250.WAV,125816,
87,TRAIN16k/BWC_a0106.WAV,125794,
88,TRAIN16k/ERMS_a0116.WAV,125664,
89,TRAIN16k/BWC_a0022.WAV,125544,
90,TRAIN16k/BWC_a0239.WAV,125440,
91,TRAIN16k/EBVS_a0023.WAV,125440,
92,TRAIN16k/ERMS_a0239.WAV,125201,
93,TRAIN16k/EBVS_a0277.WAV,125163,
94,TRAIN16k/LXC_a0398.WAV,125060,
95,TRAIN16k/PNV_b0465.WAV,124952,
96,TRAIN16k/MBMPS_b0204.WAV,124800,
97,TRAIN16k/BWC_a0133.WAV,124703,
98,TRAIN16k/BWC_a0422.WAV,124621,
99,TRAIN16k/LXC_a0234.WAV,124565,
100,TRAIN16k/YDCK_b0407.WAV,124562,
101,TRAIN16k/MBMPS_b0210.WAV,124540,
102,TRAIN16k/PNV_a0581.WAV,124385,
103,TRAIN16k/EBVS_a0577.WAV,124351,
104,TRAIN16k/MBMPS_a0366.WAV,124320,
105,TRAIN16k/MBMPS_a0088.WAV,124307,
106,TRAIN16k/BWC_a0245.WAV,124285,
107,TRAIN16k/ERMS_a0350.WAV,124206,
108,TRAIN16k/MBMPS_b0313.WAV,124184,
109,TRAIN16k/ERMS_a0380.WAV,123716,
110,TRAIN16k/HQTV_b0447.WAV,123612,
111,TRAIN16k/BWC_a0323.WAV,123520,
112,TRAIN16k/LXC_b0496.WAV,123116,
113,TRAIN16k/PNV_a0527.WAV,123031,
114,TRAIN16k/LXC_b0427.WAV,122856,
115,TRAIN16k/BWC_b0434.WAV,122827,
116,TRAIN16k/BWC_a0055.WAV,122781,
117,TRAIN16k/BWC_a0577.WAV,122751,
118,TRAIN16k/LXC_a0375.WAV,122635,
119,TRAIN16k/MBMPS_a0517.WAV,122560,
120,TRAIN16k/MBMPS_a0268.WAV,122548,
121,TRAIN16k/YDCK_a0369.WAV,122430,
122,TRAIN16k/HQTV_b0480.WAV,122352,
123,TRAIN16k/HKK_b0427.WAV,122255,
124,TRAIN16k/MBMPS_a0375.WAV,121898,
125,TRAIN16k/BWC_a0375.WAV,121858,
126,TRAIN16k/ERMS_a0451.WAV,121794,
127,TRAIN16k/BWC_a0291.WAV,121552,
128,TRAIN16k/NCC_b0498.WAV,121324,
129,TRAIN16k/MBMPS_a0024.WAV,121207,
130,TRAIN16k/BWC_a0277.WAV,121051,
131,TRAIN16k/PNV_a0276.WAV,120975,
132,TRAIN16k/LXC_a0157.WAV,120739,
133,TRAIN16k/BWC_a0347.WAV,120591,
134,TRAIN16k/MBMPS_b0524.WAV,120521,
135,TRAIN16k/YBAA_a0375.WAV,120160,
136,TRAIN16k/LXC_a0569.WAV,120160,
137,TRAIN16k/LXC_a0408.WAV,120104,
138,TRAIN16k/PNV_b0480.WAV,120104,
139,TRAIN16k/YBAA_a0407.WAV,120002,
140,TRAIN16k/NCC_b0323.WAV,119930,
141,TRAIN16k/PNV_a0588.WAV,119864,
142,TRAIN16k/LXC_b0191.WAV,119841,
143,TRAIN16k/NCC_b0520.WAV,119786,
144,TRAIN16k/PNV_b0487.WAV,119543,
145,TRAIN16k/MBMPS_a0422.WAV,119520,
146,TRAIN16k/PNV_a0369.WAV,119503,
147,TRAIN16k/ERMS_a0398.WAV,119473,
148,TRAIN16k/EBVS_b0407.WAV,119384,
149,TRAIN16k/ERMS_a0358.WAV,119360,
150,TRAIN16k/LXC_a0407.WAV,119328,
151,TRAIN16k/MBMPS_b0496.WAV,119235,
152,TRAIN16k/MBMPS_a0269.WAV,119229,
153,TRAIN16k/ERMS_a0055.WAV,119086,
154,TRAIN16k/MBMPS_a0023.WAV,119073,
155,TRAIN16k/HQTV_a0013.WAV,119040,
156,TRAIN16k/HKK_a0525.WAV,119002,
